"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.374997958E0,-1.254391479E-1,1.065035248E1,-5.912704468E-1
7.395038958E0,-4.522096252E-1,1.064466431E1,-6.471043396E-1
7.415080958E0,-7.198530579E-1,1.094703552E1,-4.863386536E-1
7.435121958E0,-1.197360077E0,1.171164551E1,1.610650635E-1
7.455163958E0,-1.082399139E0,1.221819214E1,-1.226399689E0
7.475204958E0,-9.713301086E-1,1.227477448E1,-2.579735413E0
7.495246958E0,-1.733096008E0,1.000399658E1,-1.456620941E0
7.515287958E0,-2.188000031E0,8.515641632E0,-9.343569946E-1
7.535328958E0,-3.278482361E0,8.981921997E0,1.766027527E0
7.555370958E0,-4.524940338E0,1.179756683E1,2.430495758E0
7.575411958E0,-5.648054810E0,1.339175171E1,-9.530680847E-1
7.595457250E0,-5.074597321E0,1.145238464E1,-1.630259857E0
7.615498250E0,-1.860930176E0,9.029672699E0,3.201841736E-1
7.635540250E0,-1.694476318E0,8.844208374E0,7.331753540E-1
7.655581250E0,-2.021097107E0,1.054616913E1,1.828896790E0
7.675623250E0,-3.179687805E0,1.057655594E1,3.422482910E0
7.695664250E0,-3.192261658E0,9.329798584E0,1.780697021E0
7.715706250E0,-2.329306183E0,8.440497894E0,-7.729925537E-1
7.735747250E0,-2.506986694E0,7.946375427E0,-1.158740387E0
7.755788250E0,-2.212698669E0,7.841593323E0,7.421566772E-1
7.775830250E0,-1.159488831E0,7.461833038E0,3.992198181E0
7.795871250E0,-1.445843353E0,7.154522095E0,3.619922333E0
7.815913250E0,-1.174158325E0,6.537505188E0,3.824247437E0
7.835954250E0,-1.003513184E0,5.995332642E0,3.817361755E0
7.855996250E0,-1.272952881E0,5.952521667E0,3.903582458E0
7.876037250E0,-1.199006653E0,6.242319031E0,3.539838867E0
7.896078250E0,-1.349743195E0,6.378386078E0,4.068838806E0
7.916120250E0,-1.324595490E0,6.437064056E0,4.411027222E0
7.936161250E0,-1.040935364E0,7.071295166E0,4.248315582E0
7.956203250E0,-1.151255951E0,8.639284515E0,4.104764099E0
7.976244250E0,-8.611592102E-1,1.054646851E1,4.714446259E0
7.996286250E0,-1.586700439E-2,1.124970612E1,5.289400635E0
