"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.780884583E0,2.697249316E-2,-9.136120975E-2,1.717565022E-2
5.800929583E0,7.145706564E-2,-3.537347540E-2,2.009264007E-2
5.820973583E0,8.399605751E-2,-7.480485365E-3,2.088827081E-2
5.841017583E0,7.187877595E-2,1.041121222E-2,1.886336133E-2
5.861061583E0,5.225323886E-2,3.005922399E-2,9.151434526E-3
5.881105583E0,4.560282826E-2,4.542603344E-2,-1.583358971E-3
5.901149583E0,5.830553174E-2,5.044550449E-2,-6.753180176E-3
5.921193583E0,6.639060378E-2,4.815879837E-2,-1.342558488E-2
5.941237583E0,7.938234508E-2,4.068437591E-2,-1.234642789E-2
5.961281583E0,9.594728798E-2,3.927598894E-2,-8.570095524E-3
5.981326583E0,1.046289951E-1,4.182426259E-2,-4.921330139E-3
6.001370583E0,1.040890217E-1,3.951316699E-2,2.503141062E-3
6.021414583E0,8.617775142E-2,3.758403659E-2,3.764019581E-3
6.041458583E0,6.614967436E-2,3.216977417E-2,1.995514613E-4
6.061502583E0,4.538462684E-2,7.594707422E-3,-5.031516775E-5
6.081546583E0,2.927026153E-2,1.332286512E-3,-5.855051801E-3
6.101590583E0,2.821192890E-2,-5.848711822E-3,4.637819948E-4
6.121634583E0,2.666991763E-2,-8.664526045E-3,6.184183294E-4
6.141678583E0,2.485922538E-2,-2.002046071E-2,9.803902358E-4
6.161723583E0,3.514209390E-2,-2.947266400E-2,4.901397042E-3
6.181767583E0,3.220848367E-2,-1.269490272E-2,6.357844919E-3
6.201811583E0,2.591262199E-2,3.975633066E-3,4.667066503E-3
6.221855583E0,2.126496285E-2,1.086981595E-2,6.224354729E-3
6.241899583E0,1.612207107E-2,1.935527846E-2,8.488093503E-3
6.261943583E0,2.613834292E-2,3.454131633E-2,5.077663809E-3
6.281987583E0,3.800439090E-2,4.712656140E-2,1.303786878E-2
6.302031583E0,4.604850337E-2,6.532298028E-2,1.380473562E-2
6.322075583E0,5.930425227E-2,8.703957498E-2,1.281906478E-2
6.342119583E0,4.432141036E-2,9.304398298E-2,1.763848029E-2
6.362164583E0,2.866938338E-2,7.975071669E-2,2.003857866E-2
6.382208583E0,8.701937273E-3,5.891909450E-2,1.907747984E-2
6.402252583E0,-1.450046431E-2,4.437093809E-2,1.724896766E-2
6.422296583E0,-3.564457223E-2,3.290069848E-2,1.765915938E-2
6.442341708E0,-5.237393454E-2,1.927554235E-2,1.849158294E-2
6.462385708E0,-6.084182113E-2,1.223524334E-3,1.717981882E-2
6.482429708E0,-6.709676236E-2,-1.293053851E-2,2.106098458E-2
6.502473708E0,-7.025229186E-2,-1.971755177E-2,2.309253626E-2
6.522517708E0,-7.106354088E-2,-1.802889444E-2,2.101358026E-2
6.542562708E0,-7.259439677E-2,-2.540095150E-2,2.295425721E-2
6.562606708E0,-6.937458366E-2,-3.270493075E-2,1.688921824E-2
6.582650708E0,-6.469154358E-2,-2.254854701E-2,1.663598605E-2
6.602694708E0,-5.780931562E-2,-1.996975020E-2,1.752056181E-2
6.622738708E0,-4.750467837E-2,-1.821531542E-2,1.833577268E-2
6.642782708E0,-3.971721232E-2,-1.156944968E-2,1.548145805E-2
6.662826708E0,-3.175370768E-2,-2.793474123E-4,1.662050560E-2
6.682870708E0,-3.463558853E-2,4.428428598E-3,1.645009406E-2
6.702914708E0,-3.792078793E-2,7.768620271E-4,1.522207912E-2
6.722958708E0,-4.282065481E-2,2.031851560E-3,1.214205381E-2
6.743003708E0,-4.056321457E-2,1.274958067E-2,1.376789995E-2
6.763047708E0,-3.908779845E-2,2.544768900E-2,1.573563367E-2
6.783091708E0,-3.739657626E-2,3.652691841E-2,1.699031144E-2
6.803135708E0,-3.002631105E-2,4.301187769E-2,1.569853723E-2
6.823179708E0,-1.627760567E-2,5.018871650E-2,1.687116176E-2
6.843223708E0,-3.294982016E-3,5.623415112E-2,1.417846698E-2
6.863267708E0,4.220410716E-3,5.623867735E-2,1.448202226E-2
6.883311708E0,5.327527411E-3,5.433936417E-2,1.253827382E-2
6.903355708E0,3.569124267E-3,4.134723917E-2,6.171109155E-3
6.923399708E0,-9.792065248E-4,2.514201589E-2,2.610915573E-3
6.943444708E0,-4.628569819E-3,1.440910529E-2,1.429128810E-3
6.963488708E0,-6.601965055E-3,2.120163525E-3,-1.730227843E-3
6.983532708E0,-8.029835299E-3,-1.466632728E-2,-6.074314006E-3
7.003576708E0,-1.124808192E-2,-2.455714718E-2,-9.475357831E-3
7.023620708E0,-4.861596506E-3,-2.581927553E-2,-8.698340505E-3
7.043664708E0,-2.923880704E-3,-2.677161992E-2,-4.980034661E-3
7.063708708E0,-2.122351434E-3,-2.364757657E-2,-3.240644000E-3
7.083752708E0,-7.212109864E-3,-2.541042864E-2,-2.679014346E-3
7.103796708E0,-1.177851576E-2,-2.682701498E-2,-1.332457876E-3
7.123840708E0,-1.662137173E-2,-2.234912850E-2,-3.771221731E-3
7.143885708E0,-2.045235038E-2,-2.378184907E-2,-3.337098984E-3
7.163929708E0,-1.874709316E-2,-2.544542030E-2,-4.667205736E-3
7.183973708E0,-1.227945648E-2,-2.925608307E-2,-3.917322028E-3
7.204017708E0,-9.217845276E-3,-3.356822208E-2,-3.151569981E-3
7.224061708E0,-3.985367715E-3,-3.147476166E-2,-2.001244342E-3
7.244105708E0,4.198821262E-4,-3.164489940E-2,-7.363338489E-3
7.264149708E0,-1.064911485E-3,-3.371410817E-2,-9.907495230E-3
7.284193708E0,-8.108173497E-3,-3.768967465E-2,-9.819610044E-3
7.304237708E0,-1.073155180E-2,-3.922547027E-2,-7.703836076E-3
7.324281708E0,-1.253815088E-2,-3.972608596E-2,-5.918847397E-3
7.344325708E0,-1.083814632E-2,-4.424813390E-2,-9.031172842E-3
7.364370708E0,-1.158003509E-2,-4.183643311E-2,-8.259903640E-3
7.384414708E0,-1.050729863E-2,-4.093239084E-2,-5.136646330E-3
7.404458708E0,-4.717328586E-3,-3.236921132E-2,-5.290261470E-3
7.424502708E0,-4.973666742E-3,-3.219940513E-2,-2.216694178E-3
7.444545375E0,-9.725826792E-3,-2.947488986E-2,-6.647724658E-4
7.464589375E0,-1.351847593E-2,-1.980047859E-2,4.030619748E-4
7.484633375E0,-1.358078513E-2,-5.427716300E-3,9.103449993E-4
7.504677375E0,-9.148869663E-3,2.815352287E-3,1.463155262E-3
7.524721375E0,-9.355024435E-3,1.800853014E-2,1.183341956E-4
7.544765375E0,-6.072236225E-3,2.629702911E-2,-2.518865047E-3
