Time (s),Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,activity_label
104.9040234,-0.996328125,9.575737152,0.2745291138,-0.0244570598,0.0573618561,0.009001783095,5
104.9240654,-1.227297821,9.727671204,0.2929408264,-0.04285411164,0.04055178165,-0.003922541626,5
104.9441064,-1.234183502,9.663305054,0.4086502075,0.002466632752,0.05932139605,-0.0008236311842,5
104.9641484,-1.297352142,9.654922485,0.2070195007,0.00131861039,0.09517048299,0.00369250495,5
104.9841894,-1.412013702,9.758058014,0.4132905579,-0.03689661622,0.1145198569,-0.0140709402,5
105.0042304,-1.21577179,9.744735718,0.4427792358,-0.0353545174,0.09137587994,-0.0097494293,5
105.0242724,-1.161434784,9.673034821,0.339793396,-0.02241381817,-0.005859515164,0.01679344662,5
105.0443134,-1.450334015,9.718091125,0.3327580261,-0.03183148801,0.001231555594,0.01542687137,5
105.0643554,-1.393901367,9.663155365,0.470022583,-0.02866186015,0.04555071518,0.007294962183,5
105.0843964,-1.196162567,9.646390228,0.4590953064,-0.02466072515,0.01889419369,0.01194691751,5
105.1044374,-1.324894867,9.713450775,0.5351371765,-0.01008571126,-0.04954310507,0.007994893938,5
105.1244794,-1.184935913,9.62633194,0.4150868225,-0.03332645446,0.01627620496,-0.01079349313,5
105.1445204,-1.108444977,9.679920502,0.4483177185,-0.03840823099,0.029801948,-0.005149890669,5
105.1645614,-1.216220856,9.773475952,0.4409829712,-0.01144685224,-0.0100759957,-0.000324342167,5
105.1846034,-1.14317276,9.717642059,0.4646337891,-0.002028250601,0.02069757134,0.00175617286,5
105.2046444,-1.101559296,9.598340149,0.4447251892,-0.006969546899,0.04419430718,0.007363990881,5
105.2246864,-1.194216614,9.714348907,0.4302053833,-0.0264802631,0.0387994796,0.007620343007,5
105.2447274,-1.326092377,9.820777588,0.5465135193,-0.01894125529,0.02448761091,0.005771048367,5
105.2647684,-1.273252258,9.707912292,0.4532574463,-0.00269297557,-0.001021075994,0.01145812031,5
105.2848104,-1.147513733,9.582772522,0.3520678711,-0.01753304154,-0.03148258477,0.013319619,5
105.3048514,-1.250499573,9.684111786,0.4478686523,-0.04461745545,-0.01654736325,-0.0007702629082,5
105.3248934,-1.244062958,9.711055756,0.4305047607,-0.03144672886,-0.0002184780315,-0.01578090154,5
105.3449344,-1.15140564,9.676327972,0.5539979553,-0.008620640263,-0.006797027774,-0.00915155001,5
105.3649754,-1.219663696,9.697434082,0.5328918457,-0.0006871491205,-0.04006185755,0.007461675443,5
105.3850174,-1.261127472,9.655371552,0.3980223083,-0.0009930799715,-0.08329734206,0.003087589052,5
105.4050584,-1.190474396,9.702224121,0.3724255371,0.005186185706,-0.08573476225,0.005835230928,5
105.4251004,-1.258133698,9.753717041,0.5770500183,0.03883222863,-0.002302401699,0.01514159422,5
105.4451414,-1.291514282,9.722881165,0.5025050354,0.04189160094,-0.017869642,0.0006847768091,5
105.4651824,-1.225501556,9.684710541,0.4836442566,-0.01263036113,-0.06425639987,-0.009532925673,5
