"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.592403583E0,-7.785310364E-1,9.316176910E0,3.455564117E0
5.612445583E0,-1.081501007E0,9.128916321E0,3.104394379E0
5.632487583E0,-1.487756195E0,9.073980560E0,3.215912476E0
5.652529583E0,-1.534010010E0,9.498348083E0,3.820804596E0
5.672571583E0,-1.593436432E0,9.466314697E0,3.781436462E0
5.692612583E0,-1.604064331E0,8.994346161E0,3.258424072E0
5.712654583E0,-2.127974854E0,8.573870544E0,2.711910553E0
5.732696583E0,-2.927013245E0,8.662186890E0,3.024310913E0
5.752738583E0,-3.378474426E0,8.915909271E0,3.787573700E0
5.772780583E0,-3.238216095E0,9.253157959E0,4.628375244E0
5.792822583E0,-3.225193176E0,8.790769501E0,3.054697723E0
5.812863583E0,-3.471431122E0,8.212671661E0,1.059047699E0
5.832905583E0,-2.219284973E0,8.086933136E0,1.664239197E0
5.852950542E0,-9.937834167E-1,8.445287933E0,3.609893188E0
5.872992542E0,-1.272354126E0,8.673114166E0,5.230572968E0
5.893034542E0,-2.548749847E0,8.223449249E0,4.840633850E0
5.913076542E0,-3.240162048E0,7.898025970E0,3.960164795E0
5.933117542E0,-3.287463684E0,7.910001068E0,4.476890259E0
5.953159542E0,-3.107687531E0,7.936795349E0,4.844376068E0
5.973201542E0,-3.024759979E0,7.539970551E0,5.203030243E0
5.993243542E0,-2.915337524E0,7.281757507E0,4.499343567E0
6.013285542E0,-2.749482422E0,7.239395599E0,4.718188477E0
6.033326542E0,-2.874023438E0,7.182364197E0,4.913831635E0
6.053368542E0,-3.005001068E0,7.055877228E0,5.115162964E0
6.073410542E0,-2.922372894E0,7.342531128E0,4.776866455E0
6.093452542E0,-2.973267059E0,7.322772217E0,4.644242249E0
6.113494542E0,-3.060086517E0,6.894363098E0,4.347858582E0
6.133535542E0,-2.993025970E0,6.692732391E0,4.430037689E0
6.153577542E0,-2.927612000E0,6.662046204E0,5.275479584E0
6.173619542E0,-2.760260010E0,6.760990448E0,6.221811676E0
6.193661542E0,-3.394341431E0,6.964716797E0,5.704487457E0
6.213703542E0,-4.376299438E0,8.747958527E0,5.008135529E0
6.233745542E0,-6.131250000E0,1.282712585E1,5.109923859E0
6.253786542E0,-6.755152588E0,1.791115356E1,6.180048523E0
6.273828542E0,-5.218148804E0,1.637759262E1,3.902534637E0
6.293870542E0,-1.969155121E0,8.116870880E0,2.540217590E0
6.313912542E0,3.963757324E-1,2.009870453E0,5.747747498E0
6.333954542E0,-1.523232422E0,9.740245056E-1,2.259551239E0
6.353995542E0,-4.577630768E0,5.220992889E0,2.815644836E-1
6.374037542E0,-2.949616241E0,1.131092880E1,2.242037659E0
6.394079542E0,7.146139526E-1,1.444136902E1,2.729723511E0
6.414121542E0,1.075663147E0,1.080273560E1,2.321672058E-1
6.434163542E0,5.388793945E-2,7.412286072E0,-2.862198029E0
6.454204542E0,7.589218140E-2,9.804311829E0,-1.963616638E0
6.474246542E0,-2.702330475E0,1.079375427E1,4.160747681E0
6.494288542E0,-1.820813599E0,1.003468277E1,4.821623383E0
6.514330542E0,-8.574169922E-1,9.618099060E0,4.008663940E-1
6.534372542E0,-5.354365540E-1,9.858050079E0,-1.967508545E0
6.554413542E0,3.855981445E-1,9.806108093E0,-1.495689697E0
6.574455542E0,8.216413879E-1,9.357191620E0,-9.487271118E-1
6.594497542E0,4.472698975E-1,9.097182312E0,-1.462458801E-1
6.614539542E0,-1.683998108E-1,9.251960449E0,6.310876465E-1
6.634581542E0,-8.011340332E-1,9.437424774E0,3.667373657E-2
6.654623542E0,-5.650749207E-1,9.107810211E0,-2.921923828E-1
6.674664542E0,1.725910950E-1,9.391769714E0,-7.619155884E-1
6.694706542E0,5.266049194E-1,9.534273376E0,-1.053209839E0
6.714748542E0,7.002438354E-1,9.130712585E0,-5.421725464E-1
6.734790542E0,1.134790192E0,9.357490997E0,-1.534309387E-1
6.754831542E0,1.064586182E0,9.916428680E0,-4.364923096E-1
6.774873542E0,1.640588379E-1,9.750423889E0,-8.652008057E-2
6.794915542E0,-7.595205688E-1,9.808203735E0,5.930667114E-1
6.814957542E0,-2.665956116E-1,9.999056854E0,6.740483093E-1
6.834999542E0,7.426057434E-1,1.022538620E1,-2.028282166E-1
6.855036708E0,1.191522217E0,1.041369461E1,-5.879772949E-1
6.875078708E0,7.640112305E-1,1.010832962E1,-4.001179504E-1
6.895120708E0,5.098397827E-1,9.728719025E0,-1.438508606E-1
6.915162708E0,3.122506714E-1,9.396709442E0,-2.969824219E-1
6.935204708E0,4.879852295E-2,9.438622284E0,-9.789642334E-2
6.955245708E0,-2.483335876E-1,1.073956696E1,2.920426941E-1
6.975287708E0,5.291496277E-1,1.206565933E1,-3.068618774E-2
6.995329708E0,1.259630585E0,1.080004120E1,-5.264552307E-1
7.015371708E0,1.996697845E0,1.137319931E1,-1.674118652E0
7.035413708E0,2.358794861E0,1.185789139E1,-2.194286957E0
7.055454708E0,1.084494781E0,1.222388031E1,-5.833369446E-1
7.075496708E0,-1.647623749E0,1.306602905E1,1.016985168E0
7.095538708E0,-1.415755920E0,1.290990372E1,2.007325745E0
7.115580708E0,-2.404599609E0,1.161419815E1,1.836530914E0
7.135622708E0,-3.311713257E0,1.000983444E1,1.479523315E0
7.155663708E0,-2.121089172E-1,9.377100220E0,6.887178040E-1
7.175705708E0,1.706601105E0,9.654922485E0,-3.279679871E-1
7.195747708E0,1.922601929E0,9.670340424E0,-7.545808411E-1
7.215789708E0,1.489851837E0,9.387279053E0,3.628454590E-1
7.235830708E0,4.320016479E-1,8.897796936E0,1.514999542E0
7.255872708E0,-1.338366852E0,8.118517456E0,2.555934906E0
7.275914708E0,-2.625240784E0,7.004084930E0,3.601959686E0
7.295956708E0,-2.878065033E0,6.260581055E0,3.613186340E0
7.315998708E0,-2.398761749E0,5.617218933E0,3.127745819E0
7.336039708E0,-1.863474884E0,5.349725189E0,2.748883667E0
7.356081708E0,-2.171833649E0,5.141508179E0,2.513572998E0
7.376123708E0,-2.283052368E0,5.405708771E0,3.134032745E0
7.396165708E0,-2.119891663E0,5.583089905E0,4.330943756E0
7.416207708E0,-1.928439789E0,5.385051727E0,5.181475067E0
7.436248708E0,-1.462608490E0,5.642815704E0,5.376968536E0
7.456290708E0,-2.032772827E-1,7.746241608E0,4.708458710E0
7.476332708E0,2.576142883E-1,1.085467758E1,4.075724487E0
7.496374708E0,-1.763333130E0,1.377660141E1,4.091591492E0
7.516415708E0,-4.122277679E0,1.305540115E1,5.812113647E0
7.536457708E0,-3.277733917E0,9.622739410E0,9.542955322E0
7.556499708E0,-3.098406830E0,8.103099518E0,1.055230637E1
7.576541708E0,-3.824696503E0,8.718320160E0,6.231840820E0
7.596582708E0,-4.074976044E0,1.473805206E1,2.734962616E0
7.616624708E0,-5.354664917E0,1.779828827E1,1.731898499E-1
7.636666708E0,-3.500770111E0,1.026146118E1,-2.783761139E0
7.656708708E0,-2.310894470E0,4.605323181E0,3.213367767E0
7.676750708E0,7.611671448E-1,3.586541748E0,5.297783203E0
7.696791708E0,-1.838476868E0,4.549339600E0,-4.550537109E-1
7.716833708E0,-1.371597748E0,8.709338837E0,-5.484594727E-1
7.736875708E0,6.053411865E-1,1.173873917E1,-2.665656738E0
7.756917708E0,1.792522430E0,1.308788361E1,-6.546037445E0
7.776958708E0,1.945504303E0,1.205563019E1,-3.788322144E0
7.797000708E0,-1.071920929E0,9.926607513E0,3.953877869E0
7.817042708E0,-3.084036713E0,9.446256409E0,6.219865723E0
7.837084708E0,-3.787124634E0,9.188941498E0,7.755372620E-1
7.857126792E0,-2.444566498E0,9.285790100E0,-2.990032196E0
7.877167792E0,-5.366340637E-1,8.470585327E0,-2.796933746E0
7.897209792E0,5.363346863E-1,8.004604340E0,-7.265890503E-1
7.917251792E0,1.212328949E0,8.909023590E0,-1.465452576E-1
7.937293792E0,7.720944214E-1,9.602531433E0,3.083587646E-1
7.957334792E0,3.814068604E-1,9.208550720E0,7.279362488E-1
7.977376792E0,6.057902527E-1,9.423503723E0,-6.578819275E-1
7.997418792E0,3.391946411E-1,9.231902161E0,-5.598358154E-1
8.017460792E0,3.023712158E-2,9.009764099E0,-7.095245361E-2
8.037502792E0,2.161505127E-1,9.107061768E0,-5.869294739E-1
8.057543792E0,3.622467041E-2,9.485025787E0,-8.918453979E-1
8.077585792E0,-5.370831299E-1,1.010383896E1,4.721182251E-1
8.097627792E0,-5.240602112E-1,1.027957352E1,1.135688324E0
8.117669792E0,7.746391296E-1,9.788594513E0,-2.145039368E-1
8.137710792E0,1.748214569E0,1.019080811E1,-9.184899902E-1
8.157752792E0,2.000739441E0,1.037013519E1,-6.926097107E-1
8.177794792E0,1.591939545E0,1.013377670E1,-8.267308044E-1
8.197836792E0,9.532177734E-1,9.896071014E0,-4.508624268E-1
